,commentor,comment
790,Hope,"Wohooo

But i have got a job after doing lco pro so can't join. Sadly. But I'm very happy"
791,Rohan Choudhary,"I had purchased LCO PRO  6 months Subscription? expiring On 22nd July, 2022 will it be extended?"
792,nagma firdoush,Can you have more opening for the remote role #Hitesh Choudhary
793,Avishkar Live,amazing sir
794,Aman - TheCompSciGuy,I hope iNeuron ko ab koi business minded edtech giant na acquire karle price bdhane k liye. Quality+Affordable = Hitesh gang
795,YouAndImpact,Amazing 
796,KUMAR SARVESH,"Was waiting for it for a while,"
797,Dinesh Rout,"Did mern bootcamp almost 80%...completing it, and applying ASAP."
798,bob mishra,Take care of your eye sir
799,yoan bello,Hello when is back Javascript marathon
800,shumaila sami,I didn't get this increased validity on my courses.
801,Hutyappa With Sunil,Link is not working to apply for remote role.
802,Devansh Singh Parmar,"Sir, I follow you from years, Never saw your eyes in this condition left one, please have a checkup."
803,Amit Kumar,
804,Chetankumar Bhagavantgoudra,
805,Vivek Maurya,️️
806,Hameed Asmath,Niceee
807,Varad Gauthankar,Form is no longer accepting response
808,Aditya Jindal,"sir, what happened to your eye?
are you doing okay?"
809,Abhi Vishwa Vlogs,Just say wow
810,Bishal Nandi,Sir I enrolled in the Javascript Bootcamp on 10th July but I am unable to access LCO  
811,harsh,Wow......
812,Tech Life Journal,3:23 yeah bois moment
813,Goutam Reddy,Some nice is coming from your Mike..
814,Tech-Man,"The form is closed, not able to apply."
815,Namaste coders,I am a member of full stack bootcamp
816,CHE tan,Sir aap kuch jyada he Dil dar nahi banre ?
817,Ravan,I love you sir
818,Debadrita Ghosh,Yayyy!!! Free Subscription 
819,Srikanth Racharla,What happen Hitesh for your left eye ️
820,Shaheem PP,Forms is not working
821,Shubham Chauhan,not the first one but someone viewing after 12 min of release
822,Raju Webdev,1st view sir 
823,Gautam Nath,wohoo 
824,Scripty Vijay,Hi Hitesh It's showing expired :(
825,Namaste coders,Thankssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss
826,Yashi EL,"Only Indians can sign up, I guess. No other way to sign up, I'm from Sri Lanka."
827,Subhash Chaudhary,Wth !! Are you serious? One more year?
828,lenin singh,some course are not accessible like nodejs course. is it not available to anyone?
829,Mihir Adarsh,First
830,Namaste coders,wawwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
831,Ujjawal Chatterjee,Your left eye looks tired and red. Take care.
832,Saviour Seelan,"Form not working bro , what can I do"
833,Namaste coders,Love Youuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
834,Faizal. dev,Sir your right eyes looks red
835,Muhsin Abbas,Miss fill form bad luck
836,Tech Life Journal,0:35 your right eye is so red. take care buddy
837,Chandni Dalal,What happened to your right eye?
838,NIKHIL KUMAR,Nothing for user who have purchased ineuron subscription
839,Abhishek Surela,I'm sorry to ask what just happened with your eyes?
840,Harjot Singh,Thank you sir for LCO pro surprise i am really great full for this kind gesture 🥹 pls pls pls sir its a request make a IOS bootcamp as well
841,Saabir Mohamed,"Thanks for this tutorial, just something to note ...instead of using UUIDv4 you can just pass the string ""unique()"" and appwrite takes care of the unique ID generation for docs or users.
then you don't need to import the UUID lib at all."
842,janupa silva,Thanks a lot for this masterpiece. Really helped me a lot. :)
843,Filipe Valente Gomes,"Would be nice to shows us file upload, like using a storage and reference it to the user that uploaded it. Nice video btw."
844,Indratej Reddy,Inspiring. it is rare to see someone building opensource tools that too from India.
845,Dharanidhar Ch,Hey Hitesh.. Thanks for all the content.. I have recently got Mac M1 and not liking the magic keyboard and mouse much.. Could you please recommend
846,kapil vishwakarma,"Hello Sir, thank you for this, can we use appwrite for offline database?"
847,Vandit Pandya,Thank You so much sir  ️
848,PUS PAJE,completed sir ... and working properly.
849,Vandit Pandya,"58:42 You added role:all at starting of the video but sir you missed to hit upgrade button so all roles gone dumped  .
<it's happen sometimes>"
850,Vaibhav,Love your Efforts In These Videos Hitesh SIr...
851,Sudhindra Pai,Love it sir.. Btw no 4K this time?
852,Aman soni,Cna i use normal Promise Syntex instead of what you are using in the video ?
853,Shrey Dadhaniya,"Hi,
i think location.reload will work if you put in .then() not sure but i guess i will work or you can use await"
854,Amit Kumar,Love it....
855,Parth path,I have I3 laptop  and i am  interested  in it field  I learned mern stack through you tube can you suggest me a course with placement
856,aniket jadhav,Hii guruji love from your student️
857,YouAndImpact,Great 
858,RITIK Singh,Pre requisite for this course???
859,God Coderz,How to host it on server?
860,Amiya Mishra,Thanks for this 
861,Luv Official,Fantastic choudhary Ji..
862,Praxss,"Nosql is okay, but integration with sql would be better"
863,Maheen Kabeer,What happens to JavaScript marathon?
864,Shekhar Chaugule,Provide Github link
865,Aman saxena,
866,Sambit kumar,"Yes, sir"
867,Ankush Jain,Hello sir Hindi me bna diya kro video
868,jagannath sahu,"Hi Hitesth, I have close to 9 years of IT industry experience....For the first 6-7 years of career I worked in different data warehouse and ERP applications...From last 1.5 years, I have been working fastapi, flask frameworks...Will this course be useful for me?? Waiting for your valuable suggestion."
869,YouAndImpact,Amazing initiative 
870,harsh Singh,"I am from a non tech background with 2 years of gap.
Will I get placed if I join this course?"
871,vishal rajivade,"I have one doubt here, appreciate if someone answer my question:
Is this course good or beneficial for someone who is already working with 2 years of experience in java. 
I have 2 years of experience in java but I am really interested in web development. Can this course will help me to get a job in good company and transition from java to web development.??

Thank you for answers"
872,Hemanta Dey,"Hello Sir
I am working in PL/SQL Background. How to change my domain  PL/SQL to Full Stack Developer."
873,TruthSpeaker,In college we get multiple companies to crack he should give chances till the next batch starts
874,education international,"Hello dear Hitesh, I am currently living in the USA when you say job garanted this is can also be applied to us who live in the USA. Can I apply for the program ?"
875,Shubham Shubham,"hi hitesh sir i just(an hour ago) got result of my jee main july exam i got very bad percentile(77) and i am so sad by this i am a dropper and i have studied really hard but not able to solve problems of physics and also not grasp all the things in chemistry so i got very bad marks on the both subject physics and chemistry.... sir i my dad has only one shop in my village and this is the only source money we have sir i as you know all the private btech colleges are very expensive we can't afford that and i wanted to take a job in web development part and i am following your courses and learned from other resources....bt i am seeing the price of the full stack web developer course is very minimal from the 3 4 months studying in btech colleges at the end i only want a job of web developer do you suggest me that i can join your full stack course and not doing any degree i am 2021 12th passout sir
please have a look this means a lot sir i can not thanks enough if you give some feedback in my situation i am so depressed by this situation"
876,Rahul Choudhary,Wow 
877,sourabh,Recordings of this course will be their in one neuron Ott??
878,Next Gen tech,sir can I get intern without college degree
879,chirag roy,️️
880,Dinesh Patil,"when will be next batch starts ?  i want to join this batch but enable to join , plz reply ineron"
881,Udit Kundu,Sir which is this course you talking about
882,NMV,can we join course now?
883,karyaken,Course so expensive Tech neuron lifetime subscription should also be included
884,TUBER DARK,
885,saidshah Ahmadi,Is this course will upload to Youtube?
886,Abish Bangotra,From where i can get this course. If anyone can help.
887,Rajeev,Can i join it now?
888,Yogesh Ukidwe,i am waiting for flutter
889,Pramod Reddy Pandiri,Can anyone say till which video we have to complete this week????
890,Sanam Pakuwal,Java Script? 
891,Namaste coders,Sir khana kha lijiye bahut time ho gya hai aaj 4 hours plus live with just iced tea...
892,Calm music,will this course get  a job?
893,Divya Kumari,"I really wanted to purchase this course but the price ...
I can't "
894,TruthSpeaker,Not job guarantee you only get to crack 1 interview. No second or third chance feels like scam
895,Quote Shades,@2:09:52: HRs got roasted
896,Appwrite,Cool video Hitesh! 
897,Aman soni,Sir i do basic MERN development should i learn Docker and containerise my backend. Also you Docker series on YT is it enough for starting ?
898,YouAndImpact,Great tutorial 
899,NITESH PRAJAPAT,What is the use of Appwrite ?
900,Deepraj Baidya,"I have some virtual machines installed in my Virtual Box, after I installed docker I faced this problem where, my Virtual Machines were not booting Up. If Anyone knows why this is happening please let me know"
901,Divinity Technology,Can I use appwrite for production app?
902,Angad Jit Singh,App write x flutter  
903,sagar,sir javascript marathon kab ayega aage please
904,Last Forever,Tell me about your mic set-up
905,Vinod Babu,when you will start javascript marathon
906,Namaste coders,
907,Shubham Kamble,javascript marathon?
908,Emre Alca,"This was super helpful, I was getting really frustrated trying to install mongodb, and this walked me right through the steps I needed"
909,Abdulkader Lokhandwala,Best Video! I was struggling so bad! Thanks a ton Hitesh!
910,Nikhil,very clear and comprehensive explanation
911,Sid,"In the tools tier list, Brew should definitely come in God Tier.
BTW have you watched that Programming Language tier list Video by Clement? It's hilarious!!"
912,Mahbub Hussain,Thanks for the video. requesting to continue this by mentioning the data location and log location.
913,Phumudzo Nthangeni,Thanks for putting effort in your craft
914,Vaibhav Naik,"Hi Hitesh sir, sorry for asking a question unrelated to the video but  I am not able to watch the lco content on my Google Chrome in linux recently. The error message mentions that it is accessible on Chrome OS, windows or Mac. But the majority of developers use Linux as their go to OS. So it is getting very hard to watch the content on the laptop. 
I had raised a support query for this on lco support page as well but never received any reply from the team.

Could you please allow the videos to be watched on linux as well?"
915,Anirudh,Always latest and updated 
916,prathamesh kinare,"Nice video quality and content.
#Request you to please make video on mongodb sharding , replica set , Redis cluster on Oracle vm Linux os.. #please. Instally using tar.gz files"
917,Anonymous King,Hello sir I have enrolled in your job guarantee js program. I am a college student thinking of buying a M1. Can I run all software for web Dev and machine learning on m1.
918,KH AFTABUDDIN AHMED,Use docker instead :)
919,Pavankumar Mhaske,️ thanks sir
920,Shiv Bhan patel,Thanks hundreds of ton
921,VIMAL SURESH,Can you make a video on installation of VM's on m1.
922,Aniket Joshi,sir plz tell us how to install Cassandra Database on MAC
923,Anshuman Bisoyi,"Thanks but why ""mongo --version"" command doesnt work? It says zsh: command not found: mongo"
924,Rana Imran Ahmed,Plz complete series on mongo
925,Vaibhav Verma,Sir I am having error that says child process failed and exited with error no 48... Do you have any solution for this? Please answer
926,Neon Tuts,"Hi Hitesh sir, Please can you make the same video for Windows? without loosing any data on mongodb."
927,OG,"Name few companies we can expect to placed into, after the course."
928,optimus,Hey Hitesh sir job guarantee at this price point is just awesome  keep going .
929,Amit Chourasia,I just puchased your course and am so excited to embark upon this new development journey under your wings Sir
930,JAYANTI SS,Amazing content
931,Matta kalyan,Nice to see the videos on this topic
932,Ashok Babu G,"If you are a fresher dont go into a loop of learning different different technologies.Just pick a language ans learn DSA in it later do 1,2 projects.you will get a package that you can't even imagine"
933,Muskan Bansal,Already enrolled in it sir.Can't wait to start on sunday. Fully excited
934,Abhishek Bhalerao,Is it compulsory to join Live Lecture Saturday sunday.. ?
935,Pankaj Tomar,DSA part is covered or not
936,Prashant Jadhav,Really awesome opportunity waiting for gys grap it
937,Samim Khan,Sir if I perches this course from Dubai what will be my job destinations
938,Razi Ahmad,what will be the CTC ???
939,NMV,Please provide more discount last day
940,Khan Sameer,Is it available with one neuron package without job garuntee..?
941,UDAYA KIRAN P,Udemy Instructor colt steele 75 hrs content just 455 rs 
942,Indratej Reddy,Already bought it.  Excited to see you on Sunday
943,Rohit,I'll join you 
944,Golden Angel,Already joined and waiting
945,VS RAMAKRISHNA Talari,Can Job guarantee will help to get the in UK also?? Please confirm.
946,Nikhil,
947,Mohammad Abbas,Finally from tomorrow
948,Arun Beckham,"Can't, it's not free."
949,SHAQUIB NAWAZ,First comment..
950,Mohd Salman Ansari,i have some questions where can i contact you or your team?
951,YouAndImpact,Amazing initiative 
952,TARGET UPSC SHORTS,Hi. Sir im confuse between cloud computing vs full stack web developer plz suggest me one plz sir
953,Firoz Ahmmed,"Hey Hitesh, I noticed you in Nas Daily."
954,Shrikant Chavan,who got selected  ?
955,Mujtaba M,"Thank you so much sir, for all the efforts you're putting out for the community!"
956,Ashish Prakash,"The amount of enthusiasm you are showing in reinventing the process of learning and teaching in the tech world just blows my mind 
Thank You for your efforts."
957,PUS PAJE,NetworkChuck Style......Love this Style
958,SUBHANSHU SAHANI,This looks amazing sir.. would surely help in better understanding.
959,Monu Shaw,Love to see this kind of video presenting style.. & thank you so  much for your extra efforts sir
960,Mahesh 360°,we really enjoy whenever sir experiment its always amazing
961,Daniel William,Solid stuff bruh! Looks cool and efficient 
962,Sushil Kumar .B,It's great... Now it will be very easy to take notes. I am looking forward for this.
963,PANKAJ KUMAR,I love your attitude towards always up for video quality. It is really top notch quality
964,Abena,"I will watch the heck out of this, I learned a lot the khan way, this is more like it. Thanks alot."
965,Vikash Yadav,This looks amazing sir.
966,Darshan Banerjee,Really amazing! Looking forward for this...
967,Pranit Ingole,It's awesome way of teaching
968,YouAndImpact,Looks pretty good 
969,Ujjwal Goel,ya its new and interesting....keep going on sir...love and wishes ;)
970,nagesh mhetre,You are just mind blowing...
971,shravan kaul,"In the frontend bootcamp, would there be community learning or discussion platform for same as all lrctures are recorded?"
972,Deepak Deodatt Mishra,It’s amazing sir
973,Amit Kumar,️
974,Hindi Hits,content will be next level 
975,Shubham Ghule,So cool...Which software are you using sir?
976,Sandeep,It's awesome 
977,Ahsan YT,I am interested. When you are going to teach us sir ?
978,Venkatesh Pachigulla,System design from you. Awesome. Waiting
979,Subhash Chalapati,"Visually looks good and modern , 
but background video is disturbing ."
980,khizr shaikh,Great Experiment 
981,satyam mishra,this will be really amazing
982,ved prakash mishra,next level editing
983,Saurabh Shukla,That's amazing
984,Navnit Khandait,Don't add text add visuals (graphics) according to the video
985,Bishal Nandi,Sir please decrease javascript course price 
986,Manivasagam Shanmugam,Thats great sir
987,Vaibhav,Great Effort
988,chandrashekar bk,Wow awesome 
989,vrushabh kale,Great start 
990,Ravi,explanation in this way is good but background blur is distracting small face at corner is i used too.
991,Srini cnu,sir i want to start a youtube channel how to pick names it is on app and web development future what ever i learn i will post just 10 years what shall i keep name
992,Guru Dattatreya,We love this
993,Raj,great 
994,JOBIN SELVANOSE,Wow
995,Dharansh Neema,It's awesome
996,Ashwani Kumar Singh,love it
997,AKHIL SAHU,It looks COOL
998,Ayaan Kaifullah,Nice but keep everything other than face blur only
999,Ritik Gupta,It was great
1000,Sardaar Prabh,Soo good
1001,Aditya Kanu,ok gonna learn how to do it get a freelance work somewhere 
1002,Anil Khairnar,Definitely it's best
1003,Anmol Soin,The synchronization misses which can be hectic. I believe you should put yourself a little side and do the writing part in front of us. That would be more real and interactive and less recorded video feel.
1004,Nikhil Choudhary,Yes that doee look awesome 
1005,Quote Shades,️
1006,Prabhakar kumar,I will be waiting impatiently.
1007,MD EXPERIMENTS,Hi bro nice experiment me
1008,Ashik S Nair,"Hint for a systen design seriea, got excited"
1009,Satender Kumar,"Sit I have 0 knowledge about ds 
Sir please help me"
1010,Nikhil,Wow 
1011,RAUSHAN RAJ,
1012,redCoder,"Hello ,sir"
1013,PRATEEK JHA,@Hiresh.. Nice opt in
1014,hi,But English letter s should not be fancy
1015,JUFFLER,Kesa ho
1016,RAJU KANDARAPU,GM rtsh
1017,Yash,First
1018,Random Guy,"An amazing suggestion from my side:
U can add a feature where pro coders(like u, people u hire or other contributers) can remotely debug codes for the users or code for them live in their machines (i think there's similar feature in vs code) 
But for sure u have to look for security risks for that as well.
U can give monetary benefits or ranking to motivate contributers.
Hope this community gets huge recognition internationally. ️"
1019,Rishabh Dhawad,"Let's see maybe in future I want to work with you, You are an awesome man. Always doing amazing things on the internet for the community. "
1020,Abhishek C. Pathak,Super excited and thanks alot for launching the community Hitesh Sir..!! ️
1021,Sahitya Roy,Amazing session would love to work with this community
1022,sashank r,UI looks so clean! Amazing work sir!
1023,Sandeep,Let’s build a super active community 
1024,Vikram J,"It may work and become a serious community like other platforms, wish you the best for your clarity, thank you very much, sir"
1025,Liam Tech,"Cool, hoping to be part of your team "
1026,Vamsi Rajagiri,Very Excited to be part of this Coding community
1027,YASH PREET,Hitesh sir  you have really created an amzing community. thanks from a beginner coder.
1028,Md Ehsan,It's a really big achievement for you and a great gift for us
1029,pratik pods,"hey hitesh. that's a really great initiative. but I was wondering, is this community only for Indians? or globally folks like us also can join there?"
1030,satyam mishra,we needed it alot thanks sir 
1031,Umang Pincha,Great initiative sir ️
1032,codelessness,"Congratulation all of us we got one more gift frome our hitesh sir.
Thankyou soo much "
1033,YouAndImpact,Great initiative 
1034,RAJESHWARAN P I,Let's build a new awesome community ️️
1035,Prashant Jadhav,Really super sonic  initiative  learn grow and get into job through community
1036,Rishu srivastava,congratulations sir 
1037,Shrish Kerur,Waiting to contribute to the community
1038,Shivam Singh,"New setup is amazing ,
With that gausian blur effect and green in back"
1039,Subhash Chaudhary,Congratulations 
1040,Yogesh Ukidwe,superb initiative
1041,Gagan Singh,Amazing 
1042,Md Ariful Islam,Please don't forget about PHP. i can't see php group there
1043,Saurabh Sikoria,"Just Amazing, will be seeing you soon."
1044,Abhishek C. Pathak,Eagerly waited since morning.
1045,Vaibhav Singh,Hitesh sir please guide me to learn coding in a proficient manner and eventually land to job as soon as possible...i already quit mechanical core job before 3 months
1046,Sahil Parmar,Which tech stack is used for that website ? Just asking for fun.
1047,Muatasim Ahmed,Can we LCO student have separate group ?
1048,Ganpati,Artificial green is OP 
1049,DroidHolic,Damn! Now this is interesting
1050,i915,That website is very slow and having trouble in posting our queries and uploading photos. pls fix that issues so that it will be a great place to build coding communities and learning.
1051,Ranga,"Sir i joined your ineuron course 
You put all your lco courses

What is new in ineuron then"
1052,Ashish Kirar,"Hello sir,
Sir please tell me you're course Full stack web dev after the complete will I get job?"
1053,Sharad Aade,Nice 
1054,Jay_ Creation,Super excited 
1055,Ratnadeep Saha,Please create a Azure and Gcp focused community channel.
1056,AV Gaming,It will gonna really big
1057,Jatin Nandwani,Thanks so much
1058,Yash Manisha,Very excited sir
1059,sahin Islam,Is there  new course will launch in LCO?
1060,Chetan pl,Hitesh what is your community name? I would like to join it.
1061,heatengine,I wish it is accessible
1062,Suman Kundu,Thank you
1063,Anirudh,
1064,Tony Starc,okkl sir gor it we'll do same as you guide
1065,sagar,"Is this website open source? If it is, I'd like to contribute in building it too!"
1066,Sanjeev,New background 
1067,Omkar Shivadekar,Seems like Stack Overflow clone
1068,Ashutosh Sharma,Mera idea  
1069,sahin Islam,Congratulations
1070,Tony Starc,grey shirt is back ️️️
1071,Md Gufran,️️
1072,Om Jogani,I will be helping Flutter Developers in this one...
1073,TRIPSTER GAMING,Reddit for coders
1074,Avishkar Live,"Next level sir , i have enrolled in js bootcamp"
1075,Ujjawal Maurya,"Did I noticed Dolly Zoom like something till 0:20 seconds from start.
"
1076,Jaydev Sahoo,Finally lunch 
1077,Madhusudhan,the coder comunity website is very slow can u make it fast or  what is the reason for slow.
1078,Paras Solanki,"Hey how can i disable email notifications its just too much?
I clicked on unsubscribe but seem it is not working."
1079,?,When there is always something like stackoverflow why would we need another platform which does the same??
1080,Jemy Amrutia,Saw you in the Nas Daily video ! 
1081,sri kris,Stack over flow?? GitHub community??
1082,Wayne Berg,Pᵣₒmₒˢᵐ 
1083,Madhusudhan,it is like quora
1084,Sankha Subhra Mondal,
1085,Jay_ Creation,How crazy you are 
1086,Vipul kumar,Can anyone send me link of android app of coder community.
1087,Hammad,OTP not working in saudi arabia
1088,Its Abhi Vlog,ik this project just lauched and you are busy in fixing Bugs .. please Add Voice Call to it too like discord have .. we can screen share n do live audio chat it helps a lot ..
1089,Shubham Kondekar,Is it like slack???
1090,Ankush Ladani,Thank You sir....
1091,Yogesh,Great Video Sir. Thanks for this session and Yes we want a separate video on Meta Programming.
1092,Joe Krasswell,Thanks Hithesh! This clarifies much about how the conversion works. And I love the way you confessed that you've over explained them on the last class.
1093,Dhara Tank,Thank you for teaching us very basics about Javascript concepts. can you please let us know will you moving forward with this series or not ? can we hope for the same !?!
1094,Prabin Kumar Baniya,Does these concepts are useful while making production-grade application ? I usually I forgot these concepts after 1-2 week of watching this videos. Becasue it is deeply explained and I feel there is no limit on that deepness. How to decide what level of deep understanding of these concepts do I want ? It may be important to know how things works behind the scenes but do we really need to know how everything works behind the scenes?
1095,Dheeraj Yadav,I'm amazed to see you in a Nas daily video. Keep up the good work sir.
1096,Wasim Raja Middya,Thank you Sir for clarifying this concept.
1097,sagar,"A good one. I hoped for a long lecture, but everything is gold here"
1098,Manideep Paul,Thanks for this session and need a video on meta programming.
1099,Deepak Bind,"Hey hitesh,
Am Working as a javascript developer but now seems like I know JavaScript 25% only 

Kudos to you"
1100,Andrew Modogho,Now its clearer you are soooo wonderful Sir your openess show you are humanly and deserves and award for that
1101,maniteja chinni,Sir now I am pursuing integrated mtech 5 years course specialization in data science now I completed 3rd can you please say how to and how much I need to prepare to get decent job as fresher in data science sector because there are vast number of topics I am very confused like upto how many concepts I need to cover as a fresher to get decent job in data science sector
1102,Saadat Badgujar,Great explanation. Thank you
1103,Arafat alim,Yes sir please make a tutorial video on Meta programming. And thanx for this session.
1104,Aye Whistle,"no shady video transitions or boring dialogs , straight to facts "
1105,Umang Pincha,hi hitesh sir please make video on meta programming. we all want to learn js indepth.
1106,Sri Teja Chilakapati,That date example gave a very clear idea. Thanks!
1107,Shubham Rjshubu,Thanks hitesh sir for this session
1108,Aman Singh,Thanks sir for valuable content
1109,Pratik Bobade,Hi Sir there is huge gap in Marathon course missing motivation ?  Will series will continue or end up ?
1110,Vedant Nandwana,"Hello Hitesh sir! 

Can i tweet about whatever i learn from these videos, not exactly same just with more of my own research and own learning.

And ofc I'll credit you, your video and will highly recommend everyone to watch these videos.

Thenk you "
1111,Yogesh,Still wating for next lecture. May you please tell me when next came.
1112,Stains Mault,Thanks for this session
1113,anand nadart,Can you make video on microfrontend in react
1114,Prem Kumar,Great Video Quality 
1115,codingOnly,"if I need to learn about  each operator and it's rules, then that's not far from being weird at all."
1116,Ankush Ladani,Thank you sir...
1117,Ghalib Ansari,"Yes a video on meta programming in is, intresting"
1118,sudhanshu khatri,please make a beginner course how to start in salesforce
1119,AV Gaming,Thanks a lot hitesh
1120,Ahmed Dirie,Thanks sir.
1121,Mohammad Ayaan Siddiqui,Please teach javascript DSA
1122,Yash Manisha,When we will receive more videos
1123,Yogesh Ukidwe,superb
1124,VMM,need meta programming video
1125,Galaxy,Is it series of just promotion of another course why there is not another video for long time.
1126,HIMANSHU VERMA,Hello sir
1127,Praxss,"Back to gray t shirt…
good to see it"
1128,GOPAL LOHAR,Aaj bas 15 minutes
1129,SparePlays,"Hello sir, I don't have any knowledge about web apart from basic HTML/CSS. Am I eligible for this hackathon??"
1130,Raj Yadav,"Can we get a remote hackathon as well:(
So many are so far from Bangalore"
1131,YouAndImpact,Great initiative 
1132,Kishan Gopal Modi,"Hello sir, i have worked on the react only, and Don't have any experience with react navtive or native base.

Am i eligible for this hackathon?"
1133,Ranjith Sumathi,Hi sir i have registered for hackathon to much waited for JS stack now it's make more excited so I have professional experience  but I don't see my GitHub will expose my knowledge.will be i get shortlisted ?
1134,AV Gaming,Amazing 
1135,Sunny Dhanwani,Excited for Hackathon!
1136,MANJU SHUKLA,Some online hackathons please...
1137,PRADEEP THITE,Are you streaming this hackathon. As many of us can't come to Bangalore..
1138,Max Programming,Let's hope I get shortlisted on this one !
1139,Yash Nirmal,"Come on sir, do a onli Hackathon"
1140,Anirudh,
1141,Yash,Everyday new excitement
1142,codelessness,"Sir what if some one cant come,?? Can we join online??"
1143,sagar,Hyped!!!
1144,Srini cnu,"sir, I have enrolled in full-stack js  developer Bootcamp can I request you to start showing assignments from this month only I feel bored learning new things  wanna build something

Please do not take it serious sir  i am just a kid"
1145,MUTHU VALLI 3,First HITESH SIR...
1146,Abhishek Khatana,sir ye hackathon online hoga ya offline?
1147,Abu Zubaer,can join online?
1148,Travellers Seek,"Hitesh sir, one heart please"
1149,Shoaib Bad Shah,how to bring these type of hackathon to Pakistan ??? anyone
1150,Patel Ronak,
1151,Ujjwal singh,location please!
1152,Ajay Kumar,Anybody ready to team up?
1153,Ravan,Second sir
1154,Ashish Kumar Saini,"Love NativeBase, hopefully get a chance to meet native base team someday 🥹"
1155,Ayan Khan,Waiting for the day when hitesh sir will host a Hackathon in Delhi 
1156,Paras Chauhan,"function myFunc () {
    console.log('hello');
}
// myFunc();                             //don't give undefined

// console.log(myFunc());      //gives undefined 


Question: why console.log gives undefined while without console it is not  giving undefined?"
1157,Mithun Naik,"Regret of not watching it live daily due to shift timings , but i am loving this ! 
Thank you Sir!"
1158,Vamsi Rajagiri,"Thanks Hitesh sir for this new concepts and explaining everything, Plz take another seperate lecture on these type of topics with easy explanation"
1159,Shubham Kamble,"yes, definitely you should put your courses on Udemy or any other such platform to reach out to a wider audience so that they can learn from your amazing courses. I'm sure you'll be a top instructor on Udemy without a doubt. still, we (your loyal audience) will always prefer LCO over any other platforms"
1160,AYUSH KUMAR,"Kindly take a session on these three algorithm, waiting for it.. btw, loving your series (unable to watch live, but I see them when once I get time.)"
1161,rAHUL kr,"please take another lecture on string conversion.
appreciate your effort , thank you for giving your precious time."
1162,sagar,Just finished watching every marathon the 2nd time. Please bring more stuff like this. Thank you!
1163,AJAY SINGH,Please take another session for prefer string and number concepts. Really loving the Marathon.
1164,Jay Mehta,Very nice lecture. want more videos on these 3 algorithms. BTW sir which theme are u using? please share theme name and link. it's very pleasant to watch code.
1165,Samz Halfbeat,"It was not hard to understand the algorithms, I can got in second watch, still, would love to take another class and explore more on these topics"
1166,Smit Sonani,I am enjoying this course. appreciate your efforts 
1167,Vinay Patil,"Sir , 
Put full stack javascript bootcamp course On Udemy 
Whenever you want sir 

Thank you so much for your efforts ️"
1168,Sumit kumar,"Sir, You are revealing the secrets of JavaScript! Awesome."
1169,Shaik Imran,Loving this JS Marathon thank you Hitesh Sir
1170,Sumit Kumar Gupta,Please explain the three algorithm in details... Thank you Hitesh sir
1171,Wasim Raja Middya,"Great sir, lots of doubts on Objects and Array has been cleared but yes the last moment was little bit confusing but I hope you will clarify those concepts about the algorithm in your other separated video.
Thank you Sir ."
1172,Sandeep,Want one more session on these 3 algorithms...  
1173,Lokesh Laxkar,"Hey Hitesh love the structure of  marathon,  If you can please explain RegEx in depth in your upcoming videos."
1174,Andrew Modogho,one thing i like about your teaching is your pure sincerity your openess you dont try to make it look as if you have it all in your palm and that is what makes up a great coach and mentor thank to you Hitesh thank you
1175,Shubham Kamble,keep this coming we're loving it
1176,Mayank Parmar,"Sir, please take another lesson on conversion."
1177,Wajeeh ul Hassan Qureshi,"Kindly explain the string conversion part again, Thank you."
1178,BetterWorld,"Empty Array Converting to Boolean gives True Explained :

The value passed as the parameter of Boolean object is converted to a boolean value. If the value is empty or is 0, -0, null, false, NaN, undefined, or the empty string (""""), than the object has an initial value of false. 
Now All other values, including any object, an empty array ([]), or the string ""false"", create an object with an initial value of true. That's why Boolean([]) is True. 

Reference: MDN."
1179,Shubham Kamble,we need another class on these 3 algorithms
1180,The Indian View,hi Hitesh sir thank you for the js marathon...i have enrolled for js Bootcamp as you told in the video you need 20 ppl for iNeuron can I attend ?
1181,Mridul Bagla,"Please update your customization theme in VSCode, Thanks"
1182,sagar,Absolute master piece
1183,venu gopal,"Pls help us by giving numbering to your all videos , where it helps your followers to find out the missing video"
1184,mohd saifali,please take another class on these 3 algorithm.
1185,satyam mishra,please sir we need a video in algorithms
1186,Lokesh Laxkar,yes take next class on conversion algorithms
1187,YouAndImpact,Great video 
1188,Ritik Gupta,Another class please sir
1189,dilip baghel,"Sir, why this program print false?
let a=.6-.3
let b=.8-.3
console.log(a=b)"
1190,Ghalib Ansari,"Yes udemy, love it"
1191,John Snow,You have excellent knowledge of this. But it is really difficult to follow your explanation in English. You seem to add very confusing bits and pieces here and there in your sentences which makes no sense and makes it very hard to follow.  sorry for being harsh.
1192,Ghalib Ansari,Please explain this 3 algoriths
1193,The Mad Tech,"if we convert empty array with toString method then boolean applied on it it gives false like this 
// [] => """" => 0
console.log(Boolean([].toString()));
but if we convert without toString we get true

console.log(Boolean([]));"
1194,Rahul G,"Did Bcom by chance, but want to become a web developer by choice, how much salary package may I expect if I learn web development with deep dedication."
1195,Ahmed Dirie,Thanks sir.
1196,Shivang Bhatnagar,empty array conversion into string was confusing
